lat,long,mag
38.8166656,-122.8236694,0.82
61.9946,-150.2891,1.6
61.9948,-150.7963,1.2
32.7016667,-115.6978333,1.34
38.8221664,-122.7881699,1
19.21616745,-155.3826599,1.99000001
32.8336667,-115.5755,1.44
62.3054,-150.5095,1.1
19.17749977,-155.3968353,2.25
62.3284,-150.2257,1.2
38.8209991,-122.7896652,1.08
60.9142,-151.2859,1.5
38.8323326,-122.7921677,0.65
19.19716644,-155.4668274,1.98000002
33.019,-117.0745,1.05
61.4997,-149.9193,1.4
38.8151665,-122.8190002,0.75
61.0615,-148.2095,1.3
19.19166756,-155.5011597,2.83
19.386,-155.281,0.26
61.3404,-145.1097,0.9
19.37216667,-155.2863333,0.29
36.661499,-121.3248367,1.55
36.6566658,-121.314003,1.62
32.7966667,-115.575,1.23
19.23933411,-155.4550018,2.24000001
38.8190002,-122.82267,0.84
38.8138351,-122.822998,1.66
17.94833333,-66.95,3.03
59.5205,-138.2153,3.8
19.22333336,-155.3825073,1.99000001
33.5153333,-118.3518333,2.17
32.808,-115.5731667,1.9
32.8228333,-115.5728333,1.44
35.809,-117.6191667,1.26
33.9953333,-118.3783333,1.62
59.3126,-138.2376,3.9
62.2273,-151.1209,1.9
35.5231667,-117.4511667,1.5
36.0508333,-117.5426667,1.55
61.4201,-151.2163,1.3
35.011,-118.4735,1.13
60.1365,-153.2562,1.7
60.5697,-151.8561,1.3
32.822,-115.5901667,1.96
32.8276667,-115.586,1.34
60.5287,-147.6446,1.5
18.41833333,-67.36266667,2.66
42.8261,80.5725,4.7
62.2047,-151.0978,1.7
35.906,-117.7006667,1.67
32.8156667,-115.5785,1.58
32.8103333,-115.5846667,1.43
32.8241667,-115.5766667,1.23
38.8361664,-122.7935028,1.1
19.43783333,-155.3275,1.74
34.9841667,-118.1858333,1.28
58.2661,-155.3357,1.5
19.23933411,-155.4018402,2.53
10.6891,-45.5449,4.7
38.8246651,-122.7943344,0.77
61.4796,-149.9802,1.1
60.9933,-151.9789,0.9
32.7773333,-116.8858333,1.21
18.15366667,-66.93783333,2.2
33.8643333,-117.4981667,1.08
38.8066673,-122.8396683,0.4
40.2244987,-121.1125031,2.2
58.9928,-152.5796,1.7
32.8178333,-115.5816667,1.04
60.4935,-150.7829,1.4
61.4694,-146.6053,2.1
61.9988,-150.54,1.2
-22.5374,-67.9158,4.2
19.24483299,-155.3978271,1.97
34.8485,-118.8078333,1.32
38.7709999,-122.7360001,1.09
38.8326683,-122.8186646,0.75
38.8071671,-122.8134995,1.06
47.89166667,-122.71,1.83
63.0792,-150.9585,1.6
23.1234,-100.1216,5
48.62516667,-124.8056667,1.9
32.8195,-115.585,1.46
35.642,-117.576,0.73
38.8134995,-122.8239975,1.12
62.3258,-149.5912,1.7
19.4165,-155.2365,2.11
62.5981,-151.3172,1.5
17.93283333,-66.95166667,2.81
17.919,-66.95183333,2.6
62.1308,-145.3297,1.3
40.2343333,-121.1595,2.29
47.8,-122.576,1.48
33.3836667,-116.3493333,0.72
-4.5229,143.1157,5
38.8183327,-122.8238297,0.75
19.41833333,-155.238,3.12
53.0285,-173.7693,4.3
49.36816667,-120.5101667,1.8
18.03183333,-66.75283333,2.17
62.331,-149.6082,3.8
61.3868,-150.1307,1.2
61.4519,-146.7193,1.3
61.3502,-150.1059,1.6
53.7005,-166.803,3.5
40.211,-121.1596667,2.39
44.7613333,-110.9711667,0.42
40.4253349,-124.9558334,2.83
19.39816666,-155.2799988,1.82000005
33.5818333,-116.8035,0.32
37.3895,-113.6206667,1.28
38.8195,-122.770668,0.29
38.8291664,-122.8143311,1.47
60.6048,-141.7531,1.1
61.6897,-149.8175,1.6
33.5963333,-116.8063333,0.56
61.1827,-147.6142,1.1
19.22533417,-155.3946686,2.11999989
36.50166667,-98.707,0.91
38.7853317,-122.833168,0.97
60.1889,-141.2357,1.4
38.7560005,-122.7208328,1.54
34.0966667,-117.4871667,1.43
-20.4096,-173.7758,4.9
33.9295,-117.0926667,1.25
17.968,-66.83366667,2.24
39.4204,-119.6875,1.6
33.4725,-116.5536667,0.39
44.886,-111.409,0.72
